Precision,Recall,F-Score
1,0.082105263157895,0.151750972762646
0.650442477876106,1,0.788203753351206
1,0.033962264150943,0.065693430656934
1,0.528225806451613,0.691292875989446
0.74671052631579,0.5,0.598944591029024
0,0,0
0.926315789473684,0.99622641509434,0.96
1,0.106382978723404,0.192307692307692
0.849462365591398,0.946107784431138,0.895184135977337
0.745283018867924,0.329166666666667,0.456647398843931
0,0,0
1,0.112359550561798,0.202020202020202
1,0.040540540540541,0.077922077922078
0.2,0.347457627118644,0.253869969040247
0.466292134831461,0.873684210526316,0.608058608058608
0,0,0
1,0.069090909090909,0.129251700680272
1,0.429906542056075,0.601307189542484
0,0,0
0.128755364806867,1,0.228136882129278
1,0.455238095238095,0.62565445026178
1,0.006185567010309,0.012295081967213
0.818285714285714,0.958500669344043,0.882860665844636
0.475490196078431,0.881818181818182,0.617834394904459
1,0.159090909090909,0.274509803921569
0.250602409638554,0.597701149425288,0.353140916808149
1,0.010121457489879,0.020040080160321
1,0.561538461538462,0.719211822660099
1,0.050485436893204,0.096118299445471
1,0.201238390092879,0.335051546391753
0.954887218045113,0.705555555555555,0.811501597444089
1,0.052380952380952,0.099547511312217
0.115789473684211,0.439999999999999,0.183333333333334
0.306930693069307,0.163157894736842,0.213058419243986
1,0.229411764705882,0.373205741626794
0.168539325842697,0.065217391304348,0.094043887147336
1,0.012618296529969,0.024922118380062
1,0.45,0.620689655172414
1,0.065040650406504,0.122137404580153
1,0.004878048780488,0.009708737864078
1,0.040247678018576,0.077380952380952
0.915811088295688,0.874509803921569,0.89468405215647
0.378151260504202,1,0.548780487804878
0.028011204481793,0.125,0.045766590389016
1,0.072555205047319,0.135294117647059
0,0,0
1,0.632911392405063,0.775193798449612
0,0,0
1,0.017647058823529,0.034682080924856
1,0.074074074074074,0.137931034482759
0,0,0
1,0.004301075268817,0.008565310492505
0.503748125937031,1,0.669990029910269
1,0.2,0.333333333333333
0,0,0
0.128070175438597,0.973333333333333,0.226356589147287
1,0.147368421052632,0.256880733944954
1,0.634782608695652,0.776595744680851
0,0,0
0.555133079847909,0.918238993710692,0.691943127962085
0,0,0
0,0,0
1,0.091954022988506,0.168421052631579
0.252767527675277,0.985611510791367,0.402349486049927
1,0.122340425531915,0.218009478672986
0,0,0
0.102439024390244,0.170731707317073,0.128048780487805
1,0.083333333333333,0.153846153846154
0.996350364963504,0.709090909090909,0.828528072837633
1,0.088888888888889,0.163265306122449
1,0.018716577540107,0.036745406824147
0,0,0
1,0.120507399577167,0.215094339622641
1,0.075,0.13953488372093
1,0.403921568627451,0.575418994413408
0,0,0
1,0.180379746835443,0.305630026809651
1,0.338095238095238,0.505338078291815
1,0.077777777777778,0.144329896907217
1,0.183333333333333,0.309859154929577
1,0.392265193370166,0.563492063492063
0.857142857142856,0.10958904109589,0.194331983805668
0,0,0
1,0.65625,0.792452830188679
1,0.6,0.75
0.057036400114646,0.695804195804196,0.105430463576159
0.181879648411089,0.707894736842105,0.28940290478752
0,0,0
0,0,0
0.757847533632287,0.845,0.799054373522459
0.021739130434783,0.002277904328018,0.004123711340206
0,0,0
0,0,0
1,0.463541666666666,0.633451957295373
1,0.186666666666667,0.314606741573034
0,0,0
1,0.317269076305221,0.481707317073171
1,0.683333333333333,0.811881188118812
